Name,What it does (technical),How it helps automated designs,Drawbacks,Plain-language explanation,Source,Recommend (0-100)
Break Grid Once Per Page,Default: every element snaps to a column/row line. Exception: one hero element per page may span columns asymmetrically (grid-column: 2 / -2; transform: translateX(-12mm)),Allows expressive variation without surrendering consistency — every-slide-on-grid plus one off-grid hero feels intentional,"Easy to over-use; requires a ''breaker budget'' in generator state (max 1 per page, max 3 per 20-page deck)","Wear a suit, add one statement piece — not ten",Outside (research),68
Van De Graaf Asymmetric Margins,"@page :left { margin: 1.25in 1in 2in 1.5in } @page :right { margin: 1.25in 1.5in 2in 1in } — Van de Graaf or Fibonacci proportions, outer > inner, bottom > top",Auto-generated PDFs stop looking like Word docs with uniform 1in margins; the textblock sits where the eye recognizes from 500 years of book design,Wastes paper (≥30% margin); generates a bottom margin many modern readers find ''old-fashioned'',A photo frame is wider at the bottom because the eye perceives a centered picture as slightly low — book pages do the same,Inside: ascent-renderer + outside research,78
Outer Margin Exceeds Gutter,Outer (page) padding ≥1.5× column gutter — typically page padding 32-48mm and column gutter 16-24mm,Prevents the ''wall of text at page edge'' look and makes pages feel composed,Sacrifices density,A gallery picture has more wall around it than between it and the next picture,"Inside: ascent-renderer, brad + outside research",79
Section Inner Offset Centering,At desktop: section content lives in 14 of 16 grid columns with a 1-column offset on each side (col-offset-lg-1); creates automatic horizontal margins,Creates automatic breathing-room margins at the section level so the agent never manages horizontal padding manually,"At exactly the lg breakpoint the 1-column offset is only ~24px, which can feel tight at narrower widths",Like a book's consistent side margins — every page automatically has the same gutters without the typesetter measuring each one,Inside: brad + outside research,76
Narrative Reading Column,".narrative spans 8 of 16 columns with a 4-column left offset, centering a 720-800px reading column at ~65-75 characters per line",Enforces optimal reading line length automatically; the agent just puts prose in .narrative and the grid handles centering and width-capping,At very wide viewports the offset of 4 cols makes the narrative slightly left-biased relative to true center,Like newspaper column widths — a broadsheet doesn't run text full-page-width because it would be unreadable,"Inside: ascent-renderer, brad, design-variants, forge, ultimate-designer + outside research",82
Baseline Grid In CSS,"All line-height values are multiples of 4px: 16, 20, 24, 32, 40, 48. Body 16/24; H1 48/56, H2 32/40, H3 24/32; in python-pptx paragraph.line_spacing = Pt(24)","Cross-element vertical rhythm — when a generator intermixes headings, body and pull-quotes, every baseline still lands on a 4px gridline so adjacent blocks visually connect","True baseline snapping (text baselines, not box edges) is not natively supported in CSS — only the box-rhythm approximation; mixed font-family drifts","Music notation — every note sits on a staff line, and even half-notes and rests fit the rhythm",Outside (research),72
Negative Space 30% Budget,Reserve ≥30% of every page or slide as un-marked whitespace; enforce by computing pixel-coverage of content boxes against canvas and rejecting layouts above 70% saturation,Forces the generator to cut content (not compress whitespace) when faced with overflow; saves the document from looking like a 1990s newsletter,Quantifying ''air'' is fuzzy — pixel-coverage misses visual density of text vs solid blocks,Empty space on a luxury menu says ''we don't need to fill this — we're confident''; a coupon flyer fills every inch because it has to fight for attention,"Inside: brad, doc-design-qa + outside research",79
Vertical Fill 70-90%,Page-fill window — content fills 70%-90% of vertical space; QA deducts for pages below 70% (looks unfinished) or above 90% (cramped/clipping),Catches both overflowing pages and underbuilt pages; keeps generated layouts in the ''finished document'' appearance band,"Not appropriate for deliberately sparse pages (full-bleed image covers, dividers) — page-type modifier can soften",A page that is 65% full looks like it is missing content; a page that is 95% full looks cramped — stay in the band,Inside: doc-design-qa,67
Chapter Drop Whitespace,.chapter > h1 { margin-top: 2in } or @page:first { margin-top: 3in } — 50-75mm drop before chapter title,Forces editorial breathing on every h1 without per-chapter tuning,Wasteful on short documents,"Before a speaker walks on stage, the lights dim and the room quiets — chapter openers do the same on the page",Inside: ascent-renderer + outside research,81
Density Gradient Around Headings,"h1 { margin-bottom: 3rem } h2 { margin-bottom: 2rem } p + p { margin-top: 0.75rem } — more space near titles, less near body","Generator classifies by heading level and the gradient happens automatically — important things get repeated with pauses, body runs fast",Can feel front-loaded on very short sections,Important announcements get repeated with pauses; small talk runs fast — let your spacing reflect that,"Inside: brad, design-variants, ultimate-designer + outside research",82
Gap Over Margin Inside Containers,"display: flex; gap: 24px — container-applied, doesn't pollute last child, doesn't collapse, wrapping rows respect the gap",No first/last sentinel logic; wrapping rows respect gap automatically,No effect outside flex/grid/multicol contexts,Like telling the host of a dinner party how much elbow room each guest needs — instead of pinning a note on each guest's lapel.,Inside: brad + outside research,77
Margin Between Padding Within,"Use margin to separate siblings, padding for internal breathing; never mix them on the same element",Avoids double-spacing and ''child margin escapes parent'' margin-collapse bugs,Requires teaching the templater the distinction,Padding is the cushion stuffing inside a chair; margin is the gap between two chairs — they do different jobs,"Inside: ascent-renderer, brad, forge + outside research",80
Block Formatting Context Containers,"display: flow-root (or overflow: hidden, display: flex) on containers whose children's margins must stay inside",Eliminates ''where did my margin go?'' bugs around sections with background-color or borders,flow-root is 2020+; overflow:hidden clips decoration,Build a fence around the yard so the dog stops escaping into the neighbor's lawn,"Inside: brad, forge + outside research",78
Card Padding Exceeds Card Gap,.card { padding: 24px } .grid { gap: 16px } — inside breathing exceeds outside breathing,Card contents feel contained rather than pressed against the edge,Eats density on small cards,Each card is a room — walls thicker than the corridor that runs between rooms,Outside (research),67
Cluster Two-Tier Spacing,.cluster + .cluster { margin-top: 3rem } with tight flow-space-sm inside; two-tier scale for inter- vs intra-group,Maps directly to semantic chunks; reader sees hierarchy without explicit headings,Requires semantic markup from the generator,Friends at a party stand in tight knots with empty floor between them — the empty floor does the introducing,Inside: design-variants + outside research,77
Heavy Element Optical Breathing,".heavy + * { margin-top: calc(var(--flow-space) * 1.15) } — bold weight, large display, dark blocks, and photos get +10-20% over mechanical value",Single multiplier corrects optical imbalance without redoing the grid,''Heavy'' is hard to detect automatically — requires a class or attribute,A heavy person on a seesaw sits closer to the middle to balance the lighter person on the other end,"Inside: ascent-renderer, brad, forge + outside research",82
Trailing Margin Neutralizer,.flow > *:last-child { margin-bottom: 0 } — or use the owl selector which only applies top-margins,Prevents blank trailing pages from margins that ''escape'' the last child,Doesn't fix margin collapse across BFC boundaries,Last person in line shouldn't keep waving — nobody is behind them,Outside (research),66
Image-To-Text Gutter,"figure + p, img + p { margin-top: 6mm } plus figure { margin-right: 8mm } for inline-floated images",A single gutter constant (~8mm / 32px) covers 90% of image-text adjacencies and eliminates the ''text licking the photo edge'' tell,Too generous a gutter on small slides creates orphan-y captions; scale gutter to page width,"Don't push text against the edge of a photo — give it breathing room, like the white space around a museum placard",Outside (research),67
Footer Band Padding,.page { padding-bottom: 1in } .footer { padding-top: 0.5in; border-top: 1px solid var(--sage) } — guaranteed band between body and footer chrome,Body content can stop anywhere; footer band hides variable cut and gives every page the same closing rhythm,Reduces usable area; conflicts with full-bleed photo pages,Every letter ends with ''Sincerely'' and a signature — the footer band is the signature line on every page,Inside: ascent-renderer + outside research,78
Object-Fit Cover With Focal Position,"img { object-fit: cover; object-position: 50% 30% } — PIL: ImageOps.fit(img, (w,h), centering=(0.5, 0.3)); sharp .resize(...,{fit:'cover',position:'attention'})","Decouples image dimensions from layout cell — the composer asserts the slot, the image complies, no aspect-ratio reasoning at template time","Default 50% 50% clips heads, watermarks, baked-in captions; requires per-image focal point for portraits","Cropping a photo into a fixed picture frame — instead of resizing the frame, you slide the photo around behind the glass until the important part shows","Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",82
Object-Fit Contain For Logos,"object-fit: contain plus a matching neutral background — for logos, charts, diagrams; never crop the asset","Guarantees nothing critical (legend text, axis labels, logomark counter-shape) is clipped — letterboxing is the price of integrity",Unequal whitespace bars break edge-of-grid alignment; needs same-tone fill,"Like packing fragile cargo — the box may have empty corners, but nothing gets cut","Inside: ascent-renderer, ultimate-designer + outside research",79
Face-Aware Smart Crop,OpenCV Haar cascade or mediapipe.solutions.face_detection → bbox → compute eye-line → place at the 1/3 horizontal line; saliency fallback when no face is found,Headshots auto-place with eyes on the upper third regardless of source framing — eliminates the ''decapitation'' failure of center-crops,Haar misses 15-20% of faces; MediaPipe is heavier; group photos need union-rect heuristic,A passport-photo booth that swivels until your eyes hit the marked line — except automated,Inside: ultimate-designer + outside research,77
Lead-Room Nose-Room Placement,Detect gaze direction; place subject on the third opposite to gaze so 2/3 of the frame is in front of them. Cheap heuristic: face center vs image center,Stops auto-crop from ''trapping'' a subject against the edge they are facing — valuable for editorial pages featuring people,Requires gaze inference; mirror-flipping breaks photos with visible text,"If a person is looking right, leave more space on the right so it feels like they're looking into something instead of being shoved against a wall",Outside (research),67
Headroom Above Eyebrows,"After face detect: headroom = face_top - crop_top; enforce headroom ≥ 0.10 × face_height. If violated, expand crop upward","Eliminates the iconic ''AI cropping fail'' of eyes at top edge with no forehead — single hard rule, trivial to implement",Forces sacrifice elsewhere (often chops shoulders/torso) — acceptable trade,A face cut off above the eyebrows looks like a horror-movie poster — always leave forehead air,Outside (research),69
Aspect-Ratio Enum,"Constrain template slots to a small enum: {16:9, 4:3, 3:2, 1:1, 9:16, 21:9}; at ingest snap each incoming image to the nearest enum and Hungarian-match across the document for variety",Makes the layout solver tractable — only ~6 cell shapes; the same image can be re-used at different ratios from one stored focal point,"Source images at extreme ratios (panoramas, tall food photography) waste pixels","Like clothing sizes — instead of bespoke tailoring per photo, pick the nearest standard cut. Six sizes covers 95%",Inside: ultimate-designer + outside research,79
Smart Crop Saliency Fallback,cv2.saliency.StaticSaliencyFineGrained_create().computeSaliency(img) returns a heatmap; threshold at >0.6 → bbox → use as focal region,"Generalizes smart-crop beyond faces — works on product photography, food, architectural shots, anywhere the subject is not a person",Saliency is brittle on busy backgrounds — heatmap spreads everywhere; wrap in try/except with center-crop fallback,"When there is no face to lock onto, find the brightest, most ''interesting'' patch and crop toward it — a digital eye-tracker",Inside: ultimate-designer + outside research,78
Cover Gradient Scrim,"linear-gradient(180deg, rgba(22,22,22,0.25) 0%, rgba(22,22,22,0.55) 65%, rgba(22,22,22,0.85) 100%) as absolutely-positioned overlay on cover photos",Brand photos vary in tonal value; the 3-stop gradient keeps eyebrow text readable at the top and white title text readable at the bottom regardless of underlying image,On night photography adds dark vignette to an already-dark area; hardcoded vertical direction,Like a photographer's graduated ND filter — darkens the bottom so the foreground text is always readable,"Inside: ascent-renderer, brad, design-variants, ultimate-designer + outside research",80
Photo-Break Side Gradient,"linear-gradient(to right, rgba(70,93,83,0.7) 0%, transparent 60%) — darkens left ~60% of a full-bleed photo where text is overlaid; pair with .photo-break-text { max-width: 500px }",Text in photo-break panels is always readable on the darkened side without the agent knowing anything about the specific photograph,Right-subject photographs have darkened region falling on the subject; assumes usable negative space on left,Like sunglasses you put on the same side of your face every time — dimming the photo on the left so the white headline always stays readable.,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",84
Caption Band Gradient,"On photo cells: linear-gradient(180deg, rgba(0,0,0,0) 0%, rgba(0,0,0,0.75) 100%) with caption text in 7pt uppercase white, 8mm top padding so gradient fades in before reaching the caption",Photo captions overlay the image with a darkening gradient behind them; gradient prevents text disappearing against light areas,On small secondary images the 8mm top padding may leave very little visible photo above the gradient,Like a photo credit burned into the corner of a press photograph — the caption lives on the image itself,"Inside: ascent-renderer, brad, design-variants + outside research",79
Background-Image Desaturation Dim,"filter: saturate(0.4) brightness(0.6) on background images, or composite an rgba(0,0,0,0.45) overlay; PIL: ImageEnhance.Color + Brightness",Auto-placed text over arbitrary photos becomes legible without per-image color selection — composer always uses white text on dimmed image,"Photos lose punch; for brand-hero spreads where the photo is the message, defer to a ''photo-pure'' template with no overlay",Like turning down the music so people can hear you talk — dim the photo so the words land,Inside: brad + outside research,78
Image Bleed Outside Grid,Photo break or full-bleed elements placed at top-level document structure (outside .grid > .row > .col-*) so they truly run edge-to-edge at any viewport,Inside .grid containers max-width and side padding inset photo-break elements; placing them outside lets them bleed edge-to-edge,Requires the agent to remember a structural exception to the standard nesting pattern,Like a magazine spread that bleeds a photo to the physical edge of the page rather than stopping at the text margin,"Inside: brad, design-variants, doc-design-qa, forge + outside research",80
Photo Budget Per Spread,"Layout solver constraint: n_images_per_spread ≤4 with exactly_one(image.role == ''hero''); hero gets ≥40% of usable area, supporters ≤20% each",Prevents the ''image dump'' failure where the generator pastes all 12 available photos onto one page — forces editorial restraint,Long-form content with 30 images needs pagination logic to distribute across spreads,Every spread gets one star and a small chorus — more than that and the eye does not know where to land,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",82
Visual Weight Balance Score,"Compute weight per image as area × (1 - mean_lightness); sum left vs right half of spread. If |left - right| / total > 0.4, flag layout for swap",Symmetrical balance score is a single number the solver can optimize — prevents top-heavy / left-heavy spreads that feel tilted,Intentional asymmetry (deliberate hero on right) gets flagged; needs override flag,"If a heavy dark photo lives on the left, the right side needs something to push back — even if that something is generous whitespace","Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",82
Same-Direction Gaze Pairs,"Detect dominant gaze vector per photo (face landmarks + nose-direction); when placing two portraits side-by-side, prefer pairs whose gazes converge inward or both look outward toward a shared third element",Prevents ''two strangers looking opposite directions'' weirdness on team pages or split-portrait spreads,"Mirror-flipping to fix gaze breaks photos with visible text (signage, branding)","Two portraits next to each other should look at each other, or both look outward together — not turn their backs",Outside (research),70
Pad Don't Crop Logos,"Two-tier role system: role: photo → smart-crop allowed; role: asset → pad-only (ImageOps.pad with matching background). Detect via filename/role tag (logo, headshot, signature)","Eliminates catastrophic failure of arbitrarily lopping off a face or logomark; default to role: asset for any filename containing logo, headshot, portrait, signature",Requires upstream metadata tagging; misclassification still possible,A logo isn't a photo — you don't crop the corner off the FedEx mark because the slot is square. Pad it,Outside (research),66
Vignette-To-Edge For Text Overlap,"mask-image: linear-gradient(to right, transparent 0%, black 30%) to fade an image's left edge into a text column; pre-render fallback as PNG",Lets a full-bleed photo absorb a text column without a hard edge or colored panel — useful for covers and section openers,CSS masks have inconsistent Puppeteer/WeasyPrint support — test on the actual renderer,"Instead of a hard photo edge meeting text, soften the photo to a whisper where the words begin",Inside: ascent-renderer + outside research,70
Caption Spatial Contiguity,"Captions, axis labels, legends sit within ~6-10mm of the artifact. No floating corner legend. Captions never wrap over the figure",Auto-gen routinely places captions in a separate template row ''because the grid said so'' — spatial contiguity overrides the template,Disrupts regular grids; tight layouts can collide caption and figure,"A museum puts the placard next to the painting, not around the corner",Outside (research),67
Avoid Orphan Caption,figure { break-inside: avoid; page-break-inside: avoid } plus figcaption { break-before: avoid } — and validate caption page-index against image page-index post-render,One CSS line covers 90% of caption-photo splits — browser engines respect break-inside: avoid for figures,Forces image to next page if it doesn't fit (creates upstream whitespace orphan); pre-size figures ≤0.85× page height,Don't strand a caption alone on the next page — the photo and its label belong together,"Inside: ascent-renderer, design-variants + outside research",82
Avoid Page-Break Inside Chunks,"figure, table, blockquote, .metric-card, .signature-block { break-inside: avoid-page }; h1, h2, h3 { break-after: avoid-page }. Equivalent controls in print engines: \nobreak (TeX), Keep with Next (InDesign) — heading→first-paragraph keep fixes ~80% of stranded-heading cases.","Stops chart caption being orphaned, heading sitting alone at page bottom, signature splitting across leaves — the heading rule alone fixes 80% of auto-gen tells",Over-applying creates large bottom voids; pair with break-before: page on chapter starts,Tell the page-breaker ''don't slice this thing in half'' and ''don't leave a heading lonely at the bottom'',"Inside: ascent-renderer, brad, design-variants + outside research",82
Running Header Via String-Set,"h1.chapter { string-set: chap-title content() } then @page :right { @top-right { content: string(chap-title, first-except) } } — first-except suppresses on chapter-start","Once H1 carries the title, every subsequent page header is correct after re-flow — survives content edits","Not supported in raw Chrome print-to-PDF — needs a paged-media engine (Prince, PagedJS, WeasyPrint)",Like a sticky note that updates itself — the page-top label always shows whichever chapter you're inside,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",84
TOC With Leader Dots,"nav#toc a::after { content: leader('.') target-counter(attr(href), page) } — Prince/AH/PDFreactor only; flexbox-dot fallback for others",Removes the single most fragile manual editing step in long-form auto-gen — TOC and ''see page N'' computed in the paging engine,leader() is Prince/AH/PDFreactor only; flexbox-dot fallback floats one px above baseline,The dotted lines in a dinner-party menu connecting ''Salade Niçoise ........... $24'' — auto-drawn,Outside (research),67
Target-Counter Cross-References,"a.xref::after { content: '' (page '' target-counter(attr(href, url), page) '')'' } — TOC, ''see page 47'' callouts, back-of-book index",All cross-references auto-update on re-pagination; no second pagination pass,Chrome / wkhtmltopdf / Puppeteer headless do NOT implement — Prince/AntennaHouse/PagedJS only; silent failure,Like the index in the back of a textbook that re-checks every page number right before the book is bound.,"Inside: ascent-renderer, design-variants, forge + outside research",76
PDF Bookmarks From Headings,h1 { bookmark-level: 1; bookmark-label: content(); bookmark-state: open } — PDF outline (Acrobat sidebar) generated directly from semantics,Reviewers jump sections without scrolling; zero extra markup beyond heading levels,Chromium doesn't emit; Prince/WeasyPrint/AntennaHouse do; for Chromium post-process with pdf-lib/qpdf,Every chapter heading drops a pin in the PDF sidebar,Outside (research),53
Roman Front-Matter Numbering,"Two named @page rules: @page frontmatter { ... counter(page, lower-roman) } and @page body { ... }; apply via section.front { page: frontmatter } and section.body { page: body; counter-reset: page 1 }","Universal book-grade typography signal: i, ii, iii on front-matter then 1, 2, 3 on the body — institutional-publishing recognition cue with one CSS class flip",Some engines historically refused to reset built-in page counter; Chromium doesn't honor,"The ''i, ii, iii'' pages before ''page 1'' actually starts at Chapter 1 — tiny detail, huge signal","Inside: ascent-renderer, ultimate-designer + outside research",70
Recto Chapter Starts,section.chapter { break-before: recto } (modern) or page-break-before: right (legacy) — forces a blank verso so every chapter opens on the right page,One-line stylesheet equals institutional book look,Adds blank pages so page count balloons; wasted on single-page-scroll PDFs,Always starting a new chapter on the right page of an open book — like a real hardcover,"Inside: ascent-renderer, design-variants + outside research",80
Skip Folio On Chapter Opener,@page chapter-opener { @bottom-center { content: none } } plus section.chapter > h1 { page: chapter-opener } — first page has no folio but counter still increments,Clean chapter-opener pages without manual deletion,Requires named-page support (non-Chromium),"When a chapter starts on its own page, you usually don't see ''page 23'' cluttering the bottom","Inside: ascent-renderer, ultimate-designer + outside research",79
Zero-Padded Two-Digit Numbering,"section_counter and page_no both formatted as f''{n:02d}'' — section numbers and page numbers always two digits, padded with leading zero",Keeps footer text width constant across single- and double-digit values so the right edge of the footer never shifts,Zero-padding is only correct up to 99 pages/sections,Like a film timecode that always shows 00:01:23 — the leading zero keeps the page count's width constant,Inside: ascent-renderer + outside research,76
Deferred Total-Page Token,"TOTAL_TOKEN = ''__TOTAL__''. Stamp every page footer with the token during build; after all pages accumulate, one string-replace resolves to the zero-padded total",Every page can reference total page count even though the count is unknown during single-page rendering,"Any YAML content containing the literal __TOTAL__ would be corrupted; hardcoded fallbacks (e.g., ''38'') go stale",Like a mail-merge {TOTAL_PAGES} placeholder filled in only once the printer knows how many pages there are,"Inside: ascent-renderer, brad, doc-design-qa, forge, ultimate-designer + outside research",83
Continued From On Tokens,"<aside class=''cont-on'' data-target=''#sec-4''></aside> plus aside.cont-on::after { content: ''continues on page '' target-counter(attr(data-target, url), page) }",Honest signal for long tables/lists spanning pages — high recognition in financial documents (loan tape continuations),Needs an anchor on the next element so requires two-pass generation or post-render fixup,The ''story continued on page B7'' tag at the bottom of a newspaper article,Inside: ascent-renderer + outside research,76
End-Of-Section Ornament,section.chapter > *:last-child::after { content: ''✦''; display: block; text-align: center; margin-top: 1em; color: var(--accent) },Disambiguates ''is this section over or just more of it?'' — especially useful when sections don't force a page break,Looks twee if every paragraph gets one,The ornament symbol at the end of a magazine article (✦ or ◆) telling you ''story ends here'',Outside (research),66
Hyperlinked TOC,Plain <a href=''#sec-3''>Section 3</a> converted by all major paged-media engines into PDF internal link; in PPTX use run.hyperlink.address,Clickable TOC is a screen-only nav primitive that costs literally nothing,Some print workflows flatten hyperlinks,Blue underlined words on a webpage — but baked into the PDF,Outside (research),66
Per-Section Accent Color,section[data-accent=''navy''] { --accent: #1f2a44 } section[data-accent=''coral''] { --accent: #e07a5f }; every section-scoped rule uses var(--accent); PPTX: different layout master per section,Section recognition kicks in peripherally — readers know which section by color before reading,Risk of garish output if not constrained to a curated palette; WCAG contrast still required,"Color-coded tabs in a binder — red for Financials, blue for Legal",Inside: brad + outside research,79
Printed Thumb Tabs,@page :right { @right-middle { content: string(section-name); writing-mode: vertical-rl; background: var(--accent) } } with full-bleed print,"When printed, fanning pages reveals colored tabs on right edge — instant physical section nav",Requires bleed-aware setup; on-screen muted,Colored tab strips on the side of a dictionary or Bible,Outside (research),67
Asymmetric Verso-Recto Headers,"@page :verso { @top-left { content: string(book-title) } } @page :recto { @top-right { content: string(chap-title) } } — book title left, chapter title right",Reader sees both global container and local context at any open spread,Only meaningful on facing-page layouts,"Left page says the book name, right page says the current chapter — you know where you are at two zoom levels",Outside (research),68
Chapter-Relative Pagination,@page chapter-N { @bottom-right { content: counter(chapter) ''-'' counter(chap-page) } } with counter-reset: chap-page on every .chapter,"Long technical manuals (loan docket binders, legal exhibits) read more cleanly as ''Exhibit C, page 4'' than ''page 312''",Non-standard in trade books,"A tabbed manual reads ''Section 3, page 7'' instead of ''page 312'' — easier to find with thumb tabs","Inside: ascent-renderer, brad + outside research",78
Narrative Arc Sequencing,Page order: Thesis → Evidence → Team → Structure → Risk → Action; QA Narrative Position dimension deducts when a Risk page appears before Thesis,Enforces that page order is not arbitrary — a Risk page appearing before Thesis scores poorly,Prescriptive for fundraising documents — creative or non-standard structures generate false negatives,"Pages must appear in logical investment-story order — why (thesis), proof (evidence), who (team), how (structure), what could go wrong, now what",Inside: doc-design-qa,67
Multi-Column Body With Span Heads,".body { column-count: 2; column-gap: 6mm } plus h2 { column-span: all; break-after: column } — text snakes across columns, headings span both",Halves page count vs single-column for text-heavy memos; section heads still span both columns,column-span: all is patchy in older Prince; figures inside columns may overflow,"Newspaper columns — text snakes down one column, jumps to the next, but headlines stretch across both","Inside: ascent-renderer, brad, forge, ultimate-designer + outside research",76
At-Page Size And Zero Margin,@page { size: letter; margin: 0 } plus .page { width: 8.5in; height: 11in; padding: 0.75in 0.75in 1in; box-sizing: border-box },Bypasses Chromium's default 0.4-1.25in margins that silently clip content or insert blank trailing pages — verified live OKOA Ascent rebuild,Lose Chromium's built-in URL/date footer,Strip the printer's picture frame and design your own inside the canvas,Outside (research),66
Last-Page Break Suppression,.page:last-of-type { page-break-after: auto } — overrides the universal .page { page-break-after: always },Puppeteer otherwise emits a blank trailing page after the closing panel — every doc auto-ends with a closing page so one rule eliminates the blank-page defect universally,Multi-doc batches break last-of-type; any invisible div injected after the closing breaks it silently,Tell the printer ''stop after the last sheet'' — without it every job ejects a blank trailing sheet,Inside: ultimate-designer + outside research,78
Puppeteer Bottom-Margin Defense,Use @page { size: letter; margin: 0 } OR .page { height: 9.75in } upfront — never rely on the default 1.25in bottom margin that creates blank trailing pages when paired with .page { height: 11in },Eliminates blank trailing pages caused by Puppeteer's hardcoded bottom-margin assumption,Loses the Chromium default footer line; must implement your own footer chrome,Like a printer that secretly keeps an inch at the bottom for itself — either tell it 'no inch for you' or shrink your page to fit what it leaves you.,"Inside: ascent-renderer, design-variants, ultimate-designer + outside research",82
Strip Lazy-Loading Before Render,"Before Puppeteer/Playwright PDF export: html = html.replace(/loading=[''\""]lazy[''\""]/g, '''') — IntersectionObserver never fires for offscreen images in headless mode","Without it, multi-page documents render with broken images below the fold — verified in-repo failure (Ascent BRAD rebuild 2026-05-22)",Eager-loads all images so RAM during render is higher; for 100+ image documents batch render or raise V8 heap,"Lazy-loading photos pretend to wait until you scroll near them — in a printer that doesn't scroll, they never load at all","Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",82
Wait For Fonts.Ready Before Capture,@font-face { font-display: block } plus await page.evaluateHandle('document.fonts.ready') before page.pdf(),"If page.pdf() fires before fonts.ready, the PDF embeds Times fallback and typographic identity silently collapses",networkidle0 can stall on analytics beacons,Wait for the typeface to actually show up before taking the photograph,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",82
Font Subsetting And Embedding,@font-face with woff2 base64 inline plus pyftsubset font.woff2 --text-file=document.txt --layout-features=''*'' to keep OpenType features,Embedded fonts guarantee identical render on every device; subsetting drops 600KB serif to 80KB,Subsetting can break OpenType features if glyph tables drop — preserve with --layout-features=''*'',Glue the typefaces into the PDF so they travel with it — the reader can't substitute Times by accident,Outside (research),70
ICC Color Tagging,For Prince: @prince-pdf { prince-pdf-output-intent: url(''sRGB_v4_ICC_preference.icc'') }; for Chromium post-process via Ghostscript color conversion,Untagged PDFs render with viewer-default color spaces so ''warm white #FBF8F2'' looks subtly different in Acrobat vs Preview vs iPad,Offset wants CMYK; PDF/X-1a requires CMYK plus no transparency,Stamp the PDF with its color recipe so every viewer cooks it the same way,Outside (research),67
Print-Color-Adjust Exact,@media print { * { print-color-adjust: exact; -webkit-print-color-adjust: exact } },Browsers default to stripping backgrounds at print to save ink; for brand-styled PDFs this is non-negotiable,"User print dialog can override (only relevant for live print, irrelevant for page.pdf())","Tell the printer: no ink-saving creativity, print every pixel as designed",Outside (research),67
Full-Bleed Bleed And Marks,@page { bleed: 0.125in; marks: crop cross; margin: 0 } plus .page::before with background image extended -0.125in,Guarantees ink-to-edge for full-bleed images — survives guillotine drift (~1/16in),Chromium ignores bleed/marks; WeasyPrint buggy; Prince handles correctly,Print slightly bigger than the page so the cutter never reveals white slivers,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",82
Box-Decoration-Break Clone,.callout { box-decoration-break: clone; -webkit-box-decoration-break: clone },Default slice shears off background/border at page break; clone re-paints decoration on every fragment,Chrome ≤129 supported inline only; Chrome 130+ (Oct 2024) ships full block-level + unprefixed support. Safari still inline-only. WeasyPrint/Prince block-level. Keep -webkit- prefix for legacy Chromium.,"If you cut the card in half, re-frame both halves so each has a complete border",Outside (research),73
Section Rotation For Landscape Inserts,@page landscape { size: 11in 8.5in } plus .financial-table { page: landscape; break-before: page; break-after: page },"Wide tables (cap stacks, financial models) read terribly in portrait; named @page lets specific sections rotate",Chromium ignores named pages entirely — must split into two PDFs and merge,Wide spreadsheet gets turned sideways like a fold-out map in a guidebook,Outside (research),67
At-Page First Cover Chrome,"@page :first { @top-right { content: none } } @page :left { margin-left: 1.25in } — cover stays clean, interior pages get running heads, gutters mirror",Cover stays clean; interior pages get running heads; gutters mirror automatically,Chromium accepts selectors but doesn't render @top-* / @bottom-* margin boxes — WeasyPrint/Prince/PagedJS do,"Like a wedding invitation where the front stays clean and the inside pages have a discreet header — the cover is formal, the interior helps you navigate.",Inside: ascent-renderer + outside research,80
Watermark Via At-Page Background,"@page { background-image: url(''data:image/svg+xml;utf8,<svg>...DRAFT...</svg>''); background-position: center }",Document-wide watermark in one place — no per-page injection,Chromium doesn't paint @page backgrounds; WeasyPrint/Prince/PagedJS do,"''DRAFT'' stamp lives in the page template, not on every sheet manually",Inside: ultimate-designer + outside research,63
Image-Rendering Hint And 2x Authoring,img.logo { image-rendering: -webkit-optimize-contrast; image-rendering: crisp-edges } plus author images at 2× final print size,Most ''looks AI-generated'' PDFs are actually ''looks 96-DPI'' PDFs; 2× authoring with explicit hints produces 300-DPI output,crisp-edges ruins photographs — surgical use on logos/icons only,"Hand the printer photos at twice the size they'll appear, and tell them which are photographs (smooth) and which are logos (sharp)",Inside: design-variants + outside research,76
DPI Tier Discipline,"Downsample every image to the maximum DPI required by its largest deployed slot: target_px = slot_inches × target_dpi. Use PIL Image.LANCZOS for downsampling, never upsample silently",A 12-MP source in a 2in×2in 300-DPI slot is 4× oversized; pre-downsampling saves 10-50× PDF size,Irreversible — always keep originals and downsample the delivery copy,"Use just enough resolution for the destination — web=72, OK-print=150, sharp-print=300, gallery=600",Outside (research),67
