rank,name,domain,verdict_com,checked_at_utc,lookup_channel,greek_seed_word,greek_root_sense,letters_changed_from_seed,syllables,letters,ends_with,zee_shape,sound_pattern,cluster,relevance_0_2,meaning_0_2,sound_0_2,min_score,avg_score,flags,association_note,trademark_note,spelling_notes,substring_note
108,zealec,zealec.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,zealot,zelotes (zealous one),2,2,6,c,off-frame,CVVCVC,,0,2,1,0,1,spelling-notes:2,,,vowel digraph — several plausible spellings; 'z' — may be written as 's',
109,zephig,zephig.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,zephyr,zephyros (west wind),2,2,6,g,off-frame,CVCVC,,1,2,0,0,1,mark-proximity; spelling-notes:2,,Zephyr is a Linux Foundation real-time OS project,'ph' vs 'f' — listeners split on which one they write; 'z' — may be written as 's',
110,zephut,zephut.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,zephyr,zephyros (west wind),2,2,6,t,off-frame,CVCVC,,1,2,0,0,1,mark-proximity; spelling-notes:2,,Zephyr is a Linux Foundation real-time OS project,'ph' vs 'f' — listeners split on which one they write; 'z' — may be written as 's',
111,coccyc,coccyc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,coccyx,"kokkyx (cuckoo, tailbone)",1,2,6,c,CVCCVC mid-crunch,CVCCVC,cc,0,2,0,0,0.67,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
112,coccyp,coccyp.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,coccyx,"kokkyx (cuckoo, tailbone)",1,2,6,p,CVCCVC mid-crunch,CVCCVC,cc,0,2,0,0,0.67,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
113,coccyt,coccyt.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,coccyx,"kokkyx (cuckoo, tailbone)",1,2,6,t,CVCCVC mid-crunch,CVCCVC,cc,0,2,0,0,0.67,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
114,cystip,cystip.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,cystic,"kystis (bladder, pouch)",1,2,6,p,CVCCVC mid-crunch,CVCCVC,st,0,2,0,0,0.67,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
115,cystix,cystix.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,cystic,"kystis (bladder, pouch)",1,2,6,x,CVCCVC mid-crunch,CVCCVC,st,0,2,0,0,0.67,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
116,cystoc,cystoc.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,cystic,"kystis (bladder, pouch)",1,2,6,c,CVCCVC mid-crunch,CVCCVC,st,0,2,0,0,0.67,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
117,gypsuc,gypsuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",1,2,6,c,CVCCVC mid-crunch,CVCCVC,ps,0,2,0,0,0.67,spelling-notes:2,,,'y' as a vowel — may be written as 'i'; silent-letter cluster,
118,gypsur,gypsur.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",1,2,6,r,CVCCVC mid-crunch,CVCCVC,ps,0,2,0,0,0.67,spelling-notes:3,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i'; silent-letter cluster,
119,gypsut,gypsut.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",1,2,6,t,CVCCVC mid-crunch,CVCCVC,ps,0,2,0,0,0.67,spelling-notes:2,,,'y' as a vowel — may be written as 'i'; silent-letter cluster,
120,gypsux,gypsux.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",1,2,6,x,CVCCVC mid-crunch,CVCCVC,ps,0,2,0,0,0.67,spelling-notes:2,,,'y' as a vowel — may be written as 'i'; silent-letter cluster,
121,hyssol,hyssol.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyssop,hyssopos (the herb hyssop),1,2,6,l,CVCCVC mid-crunch,CVCCVC,ss,0,1,1,0,0.67,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
122,mydhic,mydhic.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,mythic,mythos (story),1,2,6,c,CVCCVC mid-crunch,CVCCVC,dh,0,2,0,0,0.67,spelling-notes:1,,,'y' as a vowel — may be written as 'i',
123,parhos,parhos.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,pathos,"pathos (feeling, suffering)",1,2,6,s,CVCCVC mid-crunch,CVCCVC,rh,0,2,0,0,0.67,,,,,
124,gypsir,gypsir.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,gypsum,"gypsos (chalk, plaster)",2,2,6,r,CVCCVC mid-crunch,CVCCVC,ps,0,2,0,0,0.67,spelling-notes:3,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i'; silent-letter cluster,
125,hyssum,hyssum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyssop,hyssopos (the herb hyssop),2,2,6,m,CVCCVC mid-crunch,CVCCVC,ss,0,1,1,0,0.67,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
126,sepsuc,sepsuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,sepsis,sepsis (putrefaction),2,2,6,c,CVCCVC mid-crunch,CVCCVC,ps,0,2,0,0,0.67,spelling-notes:1,,,silent-letter cluster,
127,xystor,xystor.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,xystus,xystos (covered colonnade),2,2,6,r,CVCCVC mid-crunch,CVCCVC,st,0,1,1,0,0.67,spelling-notes:2,,,unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
128,kentir,kentir.com,AVAILABLE,2026-07-25T07:00:23.463Z,rdap:iana-bootstrap,kentron,"kentron (sharp point, centre)",3,2,6,r,CVCCVC mid-crunch,CVCCVC,nt,0,1,1,0,0.67,spelling-notes:2,,,'k' before a/e — may be written as 'c'; unstressed final -er/-or/-ar — commonly confused,
129,narcum,narcum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,narcotic,narke (numbness),4,2,6,m,CVCCVC mid-crunch,CVCCVC,rc,0,1,1,0,0.67,substring:cum,,,,cum (at-edge)
130,ptosic,ptosic.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,ptosis,ptosis (a falling),1,2,6,c,CCVCVC onset-crunch,CCVCVC,pt,0,1,1,0,0.67,,,,,
131,rhetir,rhetir.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,rhetor,rhetor (public speaker),1,2,6,r,CCVCVC onset-crunch,CCVCVC,rh,1,1,0,0,0.67,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
132,rhetol,rhetol.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,rhetor,rhetor (public speaker),1,2,6,l,CCVCVC onset-crunch,CCVCVC,rh,1,1,0,0,0.67,,,,,
133,rhetop,rhetop.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,rhetor,rhetor (public speaker),1,2,6,p,CCVCVC onset-crunch,CCVCVC,rh,1,1,0,0,0.67,,,,,
134,rhetur,rhetur.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,rhetor,rhetor (public speaker),1,2,6,r,CCVCVC onset-crunch,CCVCVC,rh,1,1,0,0,0.67,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
135,ptosat,ptosat.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,ptosis,ptosis (a falling),2,2,6,t,CCVCVC onset-crunch,CCVCVC,pt,0,1,1,0,0.67,,,,,
136,rhetak,rhetak.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,rhetor,rhetor (public speaker),2,2,6,k,CCVCVC onset-crunch,CCVCVC,rh,1,1,0,0,0.67,,,,,
137,rhetam,rhetam.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,rhetor,rhetor (public speaker),2,2,6,m,CCVCVC onset-crunch,CCVCVC,rh,1,1,0,0,0.67,,,,,
138,rhetul,rhetul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,rhetor,rhetor (public speaker),2,2,6,l,CCVCVC onset-crunch,CCVCVC,rh,1,1,0,0,0.67,,,,,
139,ethnac,ethnac.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,ethnic,"ethnos (people, nation)",1,2,6,c,"one cluster, other shape",VCCVC,thn,0,2,0,0,0.67,,,,,
140,ethnil,ethnil.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,ethnic,"ethnos (people, nation)",1,2,6,l,"one cluster, other shape",VCCVC,thn,0,2,0,0,0.67,,,,,
141,ethnir,ethnir.com,AVAILABLE,2026-07-25T07:00:23.460Z,rdap:iana-bootstrap,ethnic,"ethnos (people, nation)",1,2,6,r,"one cluster, other shape",VCCVC,thn,0,2,0,0,0.67,spelling-notes:1,,,unstressed final -er/-or/-ar — commonly confused,
142,ethnuc,ethnuc.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,ethnic,"ethnos (people, nation)",1,2,6,c,"one cluster, other shape",VCCVC,thn,0,2,0,0,0.67,,,,,
143,orphac,orphac.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,orphan,orphanos (bereft),1,2,6,c,"one cluster, other shape",VCCVC,rph,0,2,0,0,0.67,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
144,orphar,orphar.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,orphan,orphanos (bereft),1,2,6,r,"one cluster, other shape",VCCVC,rph,0,2,0,0,0.67,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; unstressed final -er/-or/-ar — commonly confused,
145,orchek,orchek.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,orchid,orkhis (orchid),2,2,6,k,"one cluster, other shape",VCCVC,rch,0,2,0,0,0.67,,,,,
146,orpheg,orpheg.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,orphan,orphanos (bereft),2,2,6,g,"one cluster, other shape",VCCVC,rph,0,2,0,0,0.67,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
147,orphop,orphop.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,orphan,orphanos (bereft),2,2,6,p,"one cluster, other shape",VCCVC,rph,0,2,0,0,0.67,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
148,orphul,orphul.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,orphan,orphanos (bereft),2,2,6,l,"one cluster, other shape",VCCVC,rph,0,2,0,0,0.67,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
149,orphum,orphum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,orphan,orphanos (bereft),2,2,6,m,"one cluster, other shape",VCCVC,rph,0,2,0,0,0.67,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
150,phobuc,phobuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,phobic,phobos (fear),1,2,6,c,off-frame,CVCVC,,0,2,0,0,0.67,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
151,typhuc,typhuc.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,typhus,"typhos (smoke, stupor)",1,2,6,c,off-frame,CVCVC,,0,2,0,0,0.67,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
152,typhat,typhat.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,typhus,"typhos (smoke, stupor)",2,2,6,t,off-frame,CVCVC,,0,2,0,0,0.67,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
153,typhep,typhep.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,typhus,"typhos (smoke, stupor)",2,2,6,p,off-frame,CVCVC,,0,2,0,0,0.67,spelling-notes:2,,,'ph' vs 'f' — listeners split on which one they write; 'y' as a vowel — may be written as 'i',
154,euphum,euphum.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,euphony,euphonos (sweet-sounding),3,2,6,m,off-frame,VVCVC,,0,1,1,0,0.67,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
155,hyssap,hyssap.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyssop,hyssopos (the herb hyssop),1,2,6,p,CVCCVC mid-crunch,CVCCVC,ss,0,1,0,0,0.33,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
156,hyssep,hyssep.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyssop,hyssopos (the herb hyssop),1,2,6,p,CVCCVC mid-crunch,CVCCVC,ss,0,1,0,0,0.33,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
157,hyssor,hyssor.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyssop,hyssopos (the herb hyssop),1,2,6,r,CVCCVC mid-crunch,CVCCVC,ss,0,1,0,0,0.33,spelling-notes:3,,,doubled letter — listeners often drop one; unstressed final -er/-or/-ar — commonly confused; 'y' as a vowel — may be written as 'i',
158,hyssot,hyssot.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyssop,hyssopos (the herb hyssop),1,2,6,t,CVCCVC mid-crunch,CVCCVC,ss,0,1,0,0,0.33,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
159,hyssup,hyssup.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyssop,hyssopos (the herb hyssop),1,2,6,p,CVCCVC mid-crunch,CVCCVC,ss,0,1,0,0,0.33,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
160,hyssic,hyssic.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hyssop,hyssopos (the herb hyssop),2,2,6,c,CVCCVC mid-crunch,CVCCVC,ss,0,1,0,0,0.33,spelling-notes:2,,,doubled letter — listeners often drop one; 'y' as a vowel — may be written as 'i',
161,euphag,euphag.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,euphony,euphonos (sweet-sounding),3,2,6,g,off-frame,VVCVC,,0,1,0,0,0.33,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
162,euphit,euphit.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,euphony,euphonos (sweet-sounding),3,2,6,t,off-frame,VVCVC,,0,1,0,0,0.33,spelling-notes:1,,,'ph' vs 'f' — listeners split on which one they write,
163,hubrim,hubrim.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hubris,hybris (overreach),1,2,6,m,CVCCVC mid-crunch,CVCCVC,br,0,2,2,0,1.33,,echoes 'hubris' (arrogance),,,
164,hubrir,hubrir.com,AVAILABLE,2026-07-25T07:00:23.461Z,rdap:iana-bootstrap,hubris,hybris (overreach),1,2,6,r,CVCCVC mid-crunch,CVCCVC,br,0,2,2,0,1.33,spelling-notes:1,echoes 'hubris' (arrogance),,unstressed final -er/-or/-ar — commonly confused,
165,tonsir,tonsir.com,AVAILABLE,2026-07-25T07:00:23.462Z,rdap:iana-bootstrap,tonsil,tonsilla-adjacent (throat),1,2,6,r,CVCCVC mid-crunch,CVCCVC,ns,0,2,2,0,1.33,spelling-notes:1,echoes 'tonsils',,unstressed final -er/-or/-ar — commonly confused,
166,hubrot,hubrot.com,AVAILABLE,2026-07-25T07:05:56.515Z,rdap:iana-bootstrap,hubris,hybris (overreach),2,2,6,t,CVCCVC mid-crunch,CVCCVC,br,0,2,2,0,1.33,,echoes 'hubris' (arrogance),,,
